model,display_name,validation_accuracy,validation_loss,test_accuracy,test_loss,parameter_count,trainable_parameter_count,model_size_mb,training_time_seconds,peak_memory_allocated_mb,peak_memory_reserved_mb,notes
teacher,Teacher Transformer,0.9959999918937683,0.018625028463080527,0.9430000185966492,0.24411397030949591,109485316,109485316,417.7323389053345,0.790358736179769,744.08935546875,780.0,task-finetuned teacher
hard_student,Hard-label student,0.8999999761581421,0.3451455354690552,0.8769999742507935,0.38388765144348147,11171588,11171588,42.645145416259766,8.83156456798315,302.4267578125,396.0,same student trained only on hard labels
distilled_student,Distilled student,0.8999999761581421,0.339109397649765,0.8809999823570251,0.3852319402694702,11171588,11171588,42.645145416259766,9.02623777417466,302.427734375,396.0,"student trained with alpha=0.5, temperature=2"
