model,display_name,batch_size,requested_batch_size,mean_latency_ms_per_example,p50_latency_ms_per_example,p95_latency_ms_per_example,throughput_examples_per_second,warmup_repetitions,timed_repetitions,device,precision,max_length
teacher,Teacher Transformer,1,1,5.839120061136782,5.983514245599508,6.206066347658634,171.25868102210526,8,40,cuda,bf16,96
teacher,Teacher Transformer,32,32,0.5079411996121053,0.5089468759251758,0.5159204738447443,1968.7318153433127,8,40,cuda,bf16,96
hard_student,Hard-label student,1,1,2.3945781984366477,2.384291961789131,2.474819775670767,417.61008291684595,8,40,cuda,bf16,96
hard_student,Hard-label student,32,32,0.07782719876558986,0.07732566155027598,0.0815371167846024,12848.978453046098,8,40,cuda,bf16,96
distilled_student,Distilled student,1,1,2.4312212597578764,2.401662990450859,2.591651864349842,411.3159162237621,8,40,cuda,bf16,96
distilled_student,Distilled student,32,32,0.07794364573783241,0.07775131962262094,0.07953253225423396,12829.782216802549,8,40,cuda,bf16,96
