model,display_name,accuracy,mean_confidence,expected_calibration_error,negative_log_likelihood,brier_score
teacher,Teacher Transformer,0.943,0.9774981141090393,0.03990197792649273,0.2441139817237854,0.09956474602222443
hard_student,Hard-label student,0.877,0.8505582213401794,0.042414760798215864,0.3838876485824585,0.1880815625190735
distilled_student,Distilled student,0.881,0.8939906358718872,0.028695133388042485,0.38523194193840027,0.1915142834186554
