class,correct,total,accuracy
airplane,55,114,0.482456
automobile,66,102,0.647059
bird,7,101,0.069307
cat,36,106,0.339623
deer,67,108,0.620370
dog,11,90,0.122222
frog,11,105,0.104762
horse,60,98,0.612245
ship,26,93,0.279570
truck,30,107,0.280374
