true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,55,10,0,1,14,2,0,14,12,6
automobile,6,66,0,1,5,0,2,12,2,8
bird,6,0,7,9,63,2,0,14,0,0
cat,5,1,0,36,32,5,2,24,1,0
deer,10,0,0,10,67,0,1,17,1,2
dog,6,0,0,27,18,11,0,28,0,0
frog,5,1,0,10,61,0,11,17,0,0
horse,2,0,0,9,26,0,0,60,0,1
ship,39,14,0,0,4,0,0,8,26,2
truck,10,23,0,1,7,0,1,33,2,30
