class,correct,total,accuracy
airplane,31,114,0.271930
automobile,0,102,0.000000
bird,5,101,0.049505
cat,49,106,0.462264
deer,26,108,0.240741
dog,0,90,0.000000
frog,24,105,0.228571
horse,92,98,0.938776
ship,70,93,0.752688
truck,28,107,0.261682
