true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,31,0,2,12,3,0,0,15,50,1
automobile,1,0,0,6,0,0,0,37,41,17
bird,0,0,5,32,20,0,4,37,3,0
cat,3,0,0,49,2,0,0,52,0,0
deer,1,0,0,32,26,0,2,40,7,0
dog,0,0,1,35,0,0,1,51,1,1
frog,1,0,1,31,9,0,24,38,1,0
horse,0,0,1,4,0,0,0,92,1,0
ship,5,0,0,3,1,0,0,14,70,0
truck,1,1,0,8,1,0,0,50,18,28
