class,correct,total,accuracy
airplane,58,114,0.508772
automobile,58,102,0.568627
bird,55,101,0.544554
cat,21,106,0.198113
deer,0,108,0.000000
dog,26,90,0.288889
frog,28,105,0.266667
horse,77,98,0.785714
ship,28,93,0.301075
truck,73,107,0.682243
