true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,55,8,8,2,0,3,0,2,19,17
automobile,5,62,0,0,0,0,0,8,2,25
bird,8,0,55,7,2,3,3,19,2,2
cat,3,1,18,24,0,21,2,33,0,4
deer,9,2,57,6,0,2,3,22,2,5
dog,3,0,13,7,0,28,1,35,1,2
frog,6,1,34,13,1,1,27,20,0,2
horse,4,1,4,3,2,2,0,75,0,7
ship,27,15,2,0,0,0,0,3,36,10
truck,3,17,4,0,0,1,2,6,3,71
