epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,2.0883301571011543,0.240966796875,2.0936383605003357,0.2783203125,0.001
2,1.7303764298558235,0.34228515625,1.6966647058725357,0.3857421875,0.001
3,1.5943181924521923,0.397216796875,1.5094008296728134,0.4228515625,0.0005
