true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,48,7,10,1,0,2,0,9,11,26
automobile,7,60,1,0,0,0,0,7,2,25
bird,2,1,63,5,0,1,4,19,3,3
cat,3,0,29,22,0,12,8,29,0,3
deer,9,1,60,5,1,0,8,19,0,5
dog,2,0,18,7,1,15,2,41,0,4
frog,3,2,33,11,2,0,42,9,0,3
horse,5,0,9,1,1,1,1,77,0,3
ship,20,21,3,0,0,0,0,2,26,21
truck,2,19,6,0,0,0,2,16,1,61
