class,correct,total,accuracy
airplane,55,114,0.482456
automobile,62,102,0.607843
bird,55,101,0.544554
cat,24,106,0.226415
deer,0,108,0.000000
dog,28,90,0.311111
frog,27,105,0.257143
horse,75,98,0.765306
ship,36,93,0.387097
truck,71,107,0.663551
