true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,72,9,0,3,0,0,7,5,0,18
automobile,46,30,0,4,0,0,2,7,0,13
bird,9,3,0,8,0,0,60,17,0,4
cat,4,2,0,12,0,0,59,20,0,9
deer,12,1,0,6,0,0,68,14,0,7
dog,9,3,0,15,0,0,39,19,0,5
frog,3,1,0,8,0,0,74,17,0,2
horse,3,4,0,6,0,0,25,51,0,9
ship,73,5,0,4,0,0,3,2,0,6
truck,45,13,0,5,0,0,5,10,0,29
