class,correct,total,accuracy
airplane,72,114,0.631579
automobile,30,102,0.294118
bird,0,101,0.000000
cat,12,106,0.113208
deer,0,108,0.000000
dog,0,90,0.000000
frog,74,105,0.704762
horse,51,98,0.520408
ship,0,93,0.000000
truck,29,107,0.271028
