true_label,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,58,8,8,2,0,1,0,3,14,20
automobile,4,58,0,0,0,0,0,7,2,31
bird,9,0,55,6,1,4,3,20,1,2
cat,4,1,16,21,0,21,3,35,0,5
deer,10,0,54,7,0,3,4,25,0,5
dog,3,0,11,6,0,26,0,41,1,2
frog,6,1,32,13,1,2,28,19,0,3
horse,3,1,5,3,0,1,0,77,0,8
ship,33,13,2,0,0,0,0,5,28,12
truck,3,17,4,0,0,1,1,7,1,73
