class,correct,total,accuracy
airplane,55,114,0.482456
automobile,76,102,0.745098
bird,63,101,0.623762
cat,22,106,0.207547
deer,0,108,0.000000
dog,40,90,0.444444
frog,17,105,0.161905
horse,55,98,0.561224
ship,26,93,0.279570
truck,55,107,0.514019
